news_headline,news_article,news_category
"Didn’t ask for paternity leave, my wife backed me: Sunil Gavaskar","Ex-India captain Sunil Gavaskar said he hadn't asked BCCI for permission to return to India from New Zealand in 1975-76 to be with his wife for the birth of their son. ""I was aware that the baby would come while I was away. I was committed to playing for India and my wife backed me to the hilt,"" Gavaskar said.",sports
It annoys the hell out of me: Ian Chappell urges ICC to ban 'switch hit',"Ex-Australia captain Ian Chappell has urged ICC to ban 'switch hit' shot which Glenn Maxwell and David Warner recently played against India, saying, ""It annoys the hell out of me."" ""I'd prefer to see a contest rather than batting exhibitions,"" Chappell said. ""When...a batsman...completely become the opposite-handed batsman...[after the bowler has delivered]...then it's not fair,"" he added.",sports
F1 driver survives huge crash after car splits into two and bursts into flames,"Formula One driver Romain Grosjean was involved in a huge crash at the Bahrain Grand Prix on Sunday. Grosjean veered off the track following some contact with Daniil Kvyat and his car ploughed into the barriers, exploding on impact and breaking in half. The French driver emerged from the flames after several seconds and was immediately attended by emergency services.
",sports
Maradona’s doctor probed over involuntary manslaughter; house & clinic raided,"Diego Maradona's doctor Leopoldo Luque is being investigated for involuntary manslaughter four days after the Argentine football legend suffered a fatal heart attack. Police raided the home and clinic of the 39-year-old doctor earlier in the day, a local prosecutor's office stated. This comes after witnesses reportedly told investigators that they had seen a fight between Maradona and the doctor.",sports
"Chris Lynn smashes 20 sixes, scores 154 runs off 55 balls in club T20 match","Playing for Toombul against Sunshine Coast in Queensland Premier Cricket, Chris Lynn scored 154 runs off just 55 deliveries. The 30-year-old batsman, who did not feature in a single match for Mumbai Indians in IPL 2020, reached the 100-run mark in just 38 deliveries. He smashed 20 sixes in his 55-ball innings. ",sports
Referee saves MMA fighter from nearly flashing her breast; video surfaces,A video showing referee Jason Herzog saving MMA fighter Norma Dumont from nearly flashing her breast has surfaced online. The video shows Herzog stopping the fight momentarily to adjust the fighter's top. Brazilian born Dumont defeated Ashlee Evans-Smith by unanimous decision in her first fight since February.,sports
"Jasprit Bumrah kicks 30-yard field marker in anger during 2nd ODI, pic surfaces","Team India fast bowler Jasprit Bumrah kicked 30-yard field marker away in anger during the second ODI against Australia in Sydney. Bumrah, who is the world number two ODI bowler, registered figures of 10-0-73-1 and 10-1-79-1 in the first two ODIs which India lost. He has taken just four wickets in his last nine ODI matches.",sports
What protection do farmers have: Monty Panesar on India's farm bills,"Former England spinner Monty Panesar questioned the recently passed agricultural bills by the Indian government as farmers continued their protest. He tweeted, ""What happens if the buyer says the contract cannot be fulfilled because the quality of crop is not what was agreed, what protection does the farmer have then? There is no mention of fixing a price?""",sports
Tyson reveals he smoked marijuana before throwing 193 punches in 16 minutes in fight,"Boxer Mike Tyson, who returned to ring after 15 years for his exhibition fight against Roy Jones Jr, revealed he smoked marijuana before the fight. Tyson threw 193 punches during his eight-round, 16-minute fight. ""It has no effect on me from a negative standpoint. It's just what I do, who I'm and how I'll die,"" Tyson later said about smoking.",sports
"Maradona's daughter breaks down as football team gives her ovation, video surfaces","Dalma Maradona, daughter of late Argentine football legend Diego Maradona, broke down as Boca Juniors players gave her an ovation while paying tribute to her father during their game against Newell’s Old Boys. Dalma was sitting in her father's box at Bombonera Stadium, when Boca players went to the touchline and laid down a Maradona shirt after scoring a goal.",sports
"No captain would give Bumrah 2-over opening spell, Kohli did a blunder: Gambhir","Ex-India opener Gautam Gambhir has criticised captain Virat Kohli for giving pacer Jasprit Bumrah just two overs in his opening spell in second ODI against Australia. Calling it a tactical blunder, Gambhir said, ""I don’t think there is any captain in world cricket who'd give Bumrah two overs with new ball."" He further said, ""I find it difficult to comprehend.""",sports
Warner ruled out of 3rd ODI & T20I series due to injury,"Opener David Warner was ruled out of the third and final ODI, and the three-match T20I series against India after he injured his groin during the second ODI on Sunday. D'Arcy Short will replace Warner in the T20I squad. Meanwhile, pacer Pat Cummins was rested for third ODI and the T20I series to keep him fresh for the Test series.",sports
I just asked him out of nowhere: Kohli on Pandya bowling after 14 months,"Talking about all-rounder Hardik Pandya, who returned to bowling in international cricket for the first time since September 2019 in the second ODI against Australia, Virat Kohli said that he asked him to bowl ""out of nowhere"". In the match, Pandya bowled four overs, giving 24 runs and dismissing Steve Smith for 104. ",sports
"Had Rohit been in 2nd ODI, we'd have played in bolder fashion: Aakash","Cricketer-turned-commentator Aakash Chopra has said that had opener Rohit Sharma played in the second ODI against Australia, which India lost, Virat Kohli-led side would have played in a ""bolder fashion"". ""The batting line-up left a lot to be desired...there were too many runs on the board...If you need to score more than 350, then you need Rohit,"" he added. ",sports
Didn't think I would play the 2nd ODI after a bad dose of vertigo: Smith,"Australia's Steve Smith said he wasn't sure of playing the 2nd ODI since he was suffering from a ""bad dose of vertigo"" prior to the match on Sunday. ""I was struggling until...I came down early to have a hit and a bit of a run around,"" said Smith. He said it was team doctor who relieved him of the symptoms.",sports
"Messi pays his tribute, reveals Maradona's jersey after scoring a goal",Barcelona's Lionel Messi honoured Diego Maradona's memory by stripping off his Barcelona top to reveal Maradona's Newell's Old Boys jersey after scoring the final goal against Osasuna on Sunday. Messi played for Argentine club Newell's before joining Barcelona at age of 13 while Maradona played five matches for them in 1994. Maradona died of a heart attack on November 25.,sports
Virat Kohli is being hasty in his decisions: Ashish Nehra,"Talking about Virat Kohli's captaincy in the second ODI against Australia, former India pacer Ashish Nehra said that the India skipper was being hasty in his decisions. ""Kohli is an impulsive captain. He is making too many changes in his bowling. And this is an area that he needs to take care of,"" Nehra added. ",sports
"Smith didn't take risk but got a ton off 62 balls, it's scary: Labuschagne","Australia batsman Marnus Labuschagne has praised teammate Steve Smith for his second consecutive century against India, terming Smith's ton in the second ODI as the best innings he has seen in one-day cricket. ""He didn't give an opportunity [to bowlers], didn't really take any risk, but got a hundred off 62 balls. When someone's doing that [it's] scary,"" he stated. ",sports
"Need to look in mirror, don't want to feel like laughing stocks: Pollard on NZ series loss","After West Indies lost the three-match T20I series 0-2 against New Zealand, WI skipper Kieron Pollard said that he didn't expect his side to be outplayed ""this badly"" by the hosts. ""We have to look in the mirror...next year is crucial with World Cup coming up. So if players don't show that attitude, they may get the boot,"" he added. ",sports
FA to look into Man Utd's Cavani's social media post which uses 'negrito' term,"The Football Association is investigating Manchester United striker Edinson Cavani's social media post which uses 'negrito' term. The post, which has not been deleted, was published shortly after United's 3-2 win against Southampton, in which Cavani scored two goals after coming on as a half-time substitute. Luis Suarez had got an eight-match ban for using the same word in 2011. ",sports
Video of packed concert sparks COVID-19 fears; rapper says rules followed,"A video of a packed concert in Russia's St Petersburg has raised concerns online over the risk of rising COVID-19 transmission. ""Thanks to everyone who was at the concert today for this long-awaited meeting! Thank you for your understanding and compliance with the safety rules,"" Rapper Basta wrote. Officials said the event had been fully approved and checked by authorities.",world
400 people found illegally partying at US club amid COVID-19,New York City officials busted 400 people illegally partying at a Manhattan club at 3:00 am over the weekend amid COVID-19. They arrested four party organisers and charged them with holding a mass gathering against city and state orders and for operating without a liquor license. Only a few people partying at the club were found wearing masks.,world
Moderna to seek US emergency authorisation for COVID-19 vaccine,"American biotechnology company Moderna said it'll apply on Monday to the US Food and Drug Administration (USFDA) to authorise its coronavirus vaccine for emergency use. Full results from a late-stage study showed the vaccine is 94.1% effective, Moderna Chief Medical Officer said. In addition to USFDA, Moderna also said it would apply for conditional approval from the European Medicines Agency.",world
Who are part of Joe Biden's all-women senior WH communications team?,"US President-elect Joe Biden on Sunday announced an all-women senior White House communications team. Among those named is Jen Psaki, who will serve as White House Press Secretary. While Kate Bedingfield will be White House Communications Director, Elizabeth Alexander was named as Communications Director for the First Lady. Ashley Etienne will serve as Communications Director for VP.",world
OIC allows itself to be used by a certain country: India on reference to Kashmir,"India has criticised the Organization of Islamic Cooperation over references made in its resolutions, stating OIC has no locus standi in India's internal matters, including that of Jammu and Kashmir. ""It's regrettable OIC continues to allow itself to be used by a certain country, which has abominable record on persecution of minorities,"" MEA said in a veiled reference to Pakistan.",world
UK woman who spent 6 years travelling across Europe goes missing in Pyrenees,A 37-year-old British woman who spent six years travelling across Europe has gone missing while on a solo hiking tour in the French Pyrenees. Esther Dingley had been travelling with her partner since 2014 and their adventures were well-documented in a blog and in the press. She was due to end her solo trek on Wednesday but hasn't been seen.,world
Biden fractures his foot; Trump shares his video and says 'Get well soon',"US President-elect Joe Biden twisted his ankle while playing with one of his dogs. ""CT scan confirmed hairline fractures of President-elect Biden's lateral and intermediate cuneiform bones,"" his doctor Kevin O'Connor said. ""He will likely require a walking boot for several weeks,"" O'Connor added. President Donald Trump shared a video of Biden and wrote, ""Get well soon!""",world
Indonesian volcano emits smoke 4 km into sky after eruption; pics surface,"A volcano erupted in Indonesia's East Nusa Tenggara province, emitting ash and smoke as high as four kilometres into the sky and forcing over 2,700 residents to seek refuge, the country's disaster mitigation agency said. The agency stated that the eruption from the Mount Ili Lewotolok caused panic among those living nearby and no casualties have so far been reported.",world
World's strictest corporate responsibility plan rejected in Switzerland vote,"A plan in Switzerland to impose the world's strictest corporate responsibility rules failed to pass in a vote. It would've amended the Swiss constitution and forced Swiss-headquartered MNCs to ensure they and their suppliers respected strict human rights and environmental protection standards. Some 50.7% voters backed the initiative, according to results published by ATS national news agency.",world
China govt posts fake pic of Australian soldier murdering child,"After Chinese government spokesman Zhao Lijian posted a fake image of an Australian soldier murdering a child, Australian PM Scott Morrison demanded an apology. ""China should be totally ashamed,"" Morrison said. ""Shocked by murder of Afghan civilians & prisoners by Australian soldiers. We strongly condemn such acts & call for holding them accountable,"" Zhao wrote along with the picture.",world
Israel used electronic devices to remotely kill scientist: Iran official,"Top Iranian security official Ali Shamkhani alleged that Israel used 'electronic devices' to remotely kill military nuclear scientist Mohsen Fakhrizadeh. Iran's Press TV claimed that the weapon used in the killing was made in Israel as it ""bore the logo and specifications of the Israeli military industry"". Fakhrizadeh was assassinated in an attack which Iran has blamed on Israel.",world
US may see 'surge upon surge' in coronavirus cases: Fauci,"America's top infectious disease expert Anthony Fauci on Sunday said the US may witness a ""surge upon a surge"" in coronavirus cases as lakhs of travellers return home after the Thanksgiving holiday. The rise in cases will show in the next two or three weeks, he added. ""We don't want to frighten people, but that's the reality,"" he further said.",world
US reported over 40 lakh coronavirus cases in November,"The US has reported over 40 lakh coronavirus cases in November, more than double the previous record set in October at around 19 lakh cases. Over 11 lakh people tested positive for coronavirus in the past week alone, according to The New York Times. The US has reported nearly 1.34 crore COVID-19 cases, according to Johns Hopkins University tracker.",world
Hope US won't erect barriers to cooperation: China on blacklist report,"China, in response to reports of US adding Chinese chipmaker SMIC and national offshore oil producer CNOOC to a defence blacklist, said that it hoped US will not erect barriers and obstacles to cooperation. Reuters reported that President Donald Trump's administration is poised to add SMIC and CNOOC to a list of companies allegedly owned or controlled by Chinese military.",world
EU hoping Biden will clarify US position on digital tax: Report,"The European Union (EU) is hoping that US President-elect Joe Biden's incoming administration will clarify US position on digital taxation within two months of taking office, a French Finance Ministry source told Reuters. The bloc-wide tax would apply on digital services offered by companies such as Google and Amazon.",world
Twitter suspends Thai pro-monarchy account for platform manipulation,Twitter has suspended a Thai pro-monarchy account linked to a coordinated information campaign that was working to counter a months-long protest against the Thai King and the monarchy. The account was amplifying royalist messages and was reported to be behind several thousand tweets. Twitter said the account was suspended for violating rules on spam and platform manipulation.,world
Up to them: Govt on Pak cooperating with India's initiatives at SCO,"The Ministry of External Affairs (MEA) on Monday said that it is up to Pakistan if it wants to join India-led initiatives at the Shanghai Cooperation Organisation (SCO). ""SCO charter has [a] provision that one country cannot hold up cooperation...and allows member countries which are interested to take it forward with the exclusion of...[the] country that is opposing,"" it added.",world
Pak PM Imran Khan briefed on regional security situation at ISI HQ,"Pakistan PM Imran Khan visited the headquarters of Inter-Services Intelligence (ISI) on Sunday, where he was given a comprehensive briefing on the regional and national security situation. Khan was accompanied by Foreign Minister Shah Mahmood Qureshi and Army chief General Qamar Javed Bajwa during his visit. The PM has been regularly visiting the ISI headquarters since taking office in 2018.",world
S Korea's ex-Prez Chun gets suspended jail sentence for defamation,"South Korea's ex-President Chun Doo-hwan was given an eight-month suspended jail sentence in a defamation case by a South Korean court on Monday. The sentence was suspended for two years. The 89-year-old committed the defamation against activist Cho Chul-hyun after calling him a ""despicable liar"" for testifying that government helicopters had fired on civilians during a protest in 1980.",world
"8 inmates dead, over 50 injured in Sri Lankan prison riot ","At least eight prisoners have been killed and more than 50 injured after a riot broke out at Mahara prison over a coronavirus outbreak at the facility, officials said on Monday. Reportedly, security officials opened fire to control the riot. The prison has reported over 175 COVID-19 infections among the inmates, a police spokesman said.",world
Raj MLA Kiran Maheshwari dies after testing positive for COVID-19,"BJP MLA from Rajsamand in Rajasthan, Kiran Maheshwari, passed away at Medanta Hospital in Gurugram on Monday while undergoing treatment after testing positive for COVID-19. Rajasthan CM Ashok Gehlot tweeted, ""Saddened to know of the untimely demise of BJP leader & Rajsamand MLA Kiran Maheshwari ji. My heartfelt condolences to her family members & supporters in this most difficult time.""",politics
"Stop threatening, show governance instead: Fadnavis to Maharashtra CM","Former Maharashtra CM Devendra Fadnavis has asked current CM Uddhav Thackeray to stop 'threatening' opposition and ""show governance instead"". This comes after CM told opposition leaders to not force him to 'go after them' by playing vindictive politics. Criticising state government over COVID-19 situation, Fadnavis said, ""It's by God's grace that second wave hasn't reached Maharashtra yet.""",politics
28th rank state trying to teach 5th rank state: KCR on UP CM's visit,"Speaking on Uttar Pradesh CM Yogi Adityanath's campaign for the Greater Hyderabad Municipal Corporation polls, Telangana Chief Minister K Chandrashekar Rao said the state, which is at 28th position in terms of per capita income, was trying to teach lessons to Telangana, which is at the fifth position. He added, ""Some divisive forces are entering Hyderabad and disturbing the peace.""",politics
"Chandrababu Naidu, 12 others suspended for a day from AP Assembly","Opposition leader N Chandrababu Naidu and 12 other TDP members were suspended for a day after they stormed the podium stalling the proceedings on the first day of the winter session of the Andhra Pradesh Assembly. As per the reports, they were suspended for creating ruckus during a discussion on help to farmers worst affected due to Cyclone Nivar.",politics
Depriving liberty even for one day is one too many: SC on Goswami's plea,"Stating that the Bombay High Court had ""abdicated"" its responsibility while dealing with Republic TV's Editor-in-Chief Arnab Goswami's plea, the Supreme Court said, ""Deprivation of liberty even for a single day is one day too many."" It added, ""Our courts must ensure that they continue to remain the first line of defence against the deprivation of the liberty of citizens.""",politics
"CBI, Enforcement Directorate should be sent to borders: Shiv Sena","The Enforcement Directorate and the Central Bureau of Investigation should be sent to tackle terrorists and infiltration on the borders, Shiv Sena said. ""At Delhi's border, our farmers are called terrorists while terrorists are entering Kashmir border and Ladakh. At such times, ED and CBI should be sent to the borders,"" Sena said in an editorial in its mouthpiece Saamana.",politics
Won't give BJP ticket to Muslim candidate: K'taka Min on Belagavi bypoll,"Karnataka Rural Development Minister KS Eshwarappa on Saturday said BJP won't field any Muslim candidate for the bypoll to Belagavi Lok Sabha seat. ""We might give the party ticket to any community of Hindus...but definitely, it won't be given to Muslims,"" Eshwarappa added. The Belagavi LS seat fell vacant recently following the demise of Union MoS for Railways Suresh Angadi.",politics
"We'll free Hyderabad from Nizam culture, create mini-India here: Amit Shah","Home Minister Amit Shah on Sunday while campaigning for the Greater Hyderabad Municipal Corporation (GHMC) elections said, ""We're going to free Hyderabad from the Nawab, Nizam culture and create a mini-India here."" Saying that the Mayor of Hyderabad will be from BJP this time, Shah added, ""I want to thank people of Hyderabad for showing immense support to BJP.""",politics
BJP shares 'propaganda vs reality' video after Rahul's tweet on farmers' protest,"BJP's Amit Malviya took to Twitter to post a ""propaganda vs reality"" video after Congress leader Rahul Gandhi posted a picture from farmers' protest. ""Rahul Gandhi must be the most discredited opposition leader India has seen in a long long time,"" Malviya wrote along with the video captioned 'Police didn't even touch the farmer'.",politics
"Mamata told supporters to rape women, says WB BJP leader; complaint filed","A police complaint has been filed against West Bengal Mahila Morcha president Agnimitra Paul who claimed that CM Mamata Banerjee has asked her supporters to 'rape women for entertainment'. On November 24, Paul had said that CM told TMC workers and supporters to rape women because she 'failed to give them jobs'. The complaint was filed at Tamluk police station.",politics
Devi Annapurna idol stolen 100 yrs ago is being brought back from Canada: PM,"Prime Minister Narendra Modi on Sunday said that Indians would feel proud to know that an ancient idol of Devi Annapurna is being brought back from Canada to India. PM Modi, in his radio programme 'Mann Ki Baat', said, ""Almost 100 years ago in 1913, this idol was stolen from a temple in Varanasi and smuggled out of the country.""",politics
"BJP rolls out red carpet for billionaires, digs roads for farmers: Priyanka","Congress leader Priyanka Gandhi Vadra on Saturday said that the BJP rolls out a red carpet for their ""billionaire friends"" but has dug up roads as farmers are trying to enter Delhi. Priyanka added, ""You made laws against farmers...but if the farmers come...to raise their concerns, is it wrong?""  She was criticising the BJP-led central government amid the farmers' protest.",politics
Never called farmers' protest politically motivated: Amit Shah,"Union Minister Amit Shah, who arrived in Hyderabad on Sunday for a roadshow, said, ""I never called the farmers' protest politically motivated, neither am I calling it now."" He added, ""I would like to tell [the farmers] that the Central government is ready to discuss all their issues over a meeting called upon by the Agriculture Minister...on December 3.""",politics
"Farmers made positive contribution to GDP, rethink farm laws: Gehlot to PM","Rajasthan Chief Minister Ashok Gehlot has written a letter to Prime Minister Narendra Modi, demanding him to reconsider the three new farm laws against which the farmers are protesting. Gehlot wrote that even when the GDP growth rate has been -7.5% in the financial year 2020-21, the agriculture sector has increased by 3.4%.",politics
Voting for TRS is same as voting for AIMIM: BJP spokesperson,"Bharatiya Janata Party (BJP) spokesperson Sambit Patra said that voting for the TRS is same as voting for the AIMIM. Patra stated that both TRS and AIMIM are contesting to win the ""family and friend municipal corporation private limited"". ""The BJP is contesting the Greater Hyderabad Municipal Corporation (GHMC) polls with an aim to develop Hyderabad,"" he said.",politics
Will take action against provocative speeches: Hyd CP on GHMC polls,"Hyderabad City Police Commissioner Anjani Kumar, while speaking about security arrangements ahead of GHMC elections, said, ""Action will be taken against provocative speeches leading to communal disturbances."" ""Till now 48 cases of Model Code of Conduct violation have been registered out of which 11 cases are on people who have given provocative speeches,"" he added.",politics
Massive cycle of religious conversion going on under guise of love: MP CM,"Madhya Pradesh Chief Minister Shivraj Singh Chouhan has alleged that a ""massive cycle"" of religious conversions is going on under the guise of love in the country. He claimed that the condition of such women's lives has gone from bad to worse making it necessary to stop marriages with wrong motives, done through incentives, pressure, fear and temptation.",politics
Congress ends up opposing country while opposing PM Modi: JP Nadda,"Stating that the Congress stands with the ""Gupkar Gang"" in Jammu and Kashmir, BJP chief JP Nadda on Friday said, ""The Congress ends up opposing the country while opposing (Prime Minister Narendra) Modi ji."" Nadda added, ""In Jammu and Kashmir, NC President Farooq Abdullah said that he would seek China's help to restore Article 370."" ",politics
BJP will develop Hyderabad into a global IT hub: Amit Shah,"Union Minister Amit Shah on Sunday, while appealing to voters in Hyderabad to give BJP a chance, promised that the party would develop the city into a global IT hub by providing necessary civic infrastructure. ""The TRS and AIMIM, who rule GHMC, failed to develop proper infrastructure,"" he said. ""Where was KCR when half the city was flooded?"" he added.",politics
"President Kovind, PM Modi extend greetings on Guru Nanak Jayanti","President Ram Nath Kovind and Prime Minister Narendra Modi have extended greetings to nation on Guru Nanak Jayanti. PM Modi tweeted, ""I bow to Sri Guru Nanak Dev Ji on his Parkash Purab. May his thoughts keep motivating us to serve society and ensure a better planet."" President Kovind urged citizens to emulate Guru Nanak Dev's teachings in their conduct.",politics
